Afghanistan,32,,,,,,,,
Albania,99,,,,,,,,
Algeria,89,,,,,,,,
Andorra,-,,,,,,,,
Angola,67,,,,,,,,
Antigua and Barbuda,-,,,,,,,,
Argentina,99,,,,,,,,
Armenia,100,,,,,,,,
Australia,-,,,,,,,,
Austria,-,,,,,,,,
Azerbaijan,100,,,,,,,,
Bahamas,-,,,,,,,,
Bahrain,98,,,,,,,,
Bangladesh,83,,,,,,,,
Barbados,-,,,,,,,,
Belarus,100,,,,,,,,
Belgium,-,,,,,,,,
Belize,-,,,,,,,,
Benin,31,,,,,,,,
Bhutan,68,,,,,,,,
Bolivia (Plurinational State of),99,,,,,,,,
Bosnia and Herzegovina,100,,,,,,,,
Botswana,99,,,,,,,,
Brazil,98,,,,,,,,
Brunei Darussalam,100,,,,,,,,
Bulgaria,98,,,,,,,,
Burkina Faso,33,,,,,,,,
Burundi,88,,,,,,,,
Cabo Verde,98,,,,,,,,
Cambodia,86,,,,,,,,
Cameroon,76,,,,,,,,
Canada,-,,,,,,,,
Central African Republic,27,,,,,,,,
Chad,46,,,,,,,,
Chile,100,,,,,,,,
China,100,,,,,,,,
Colombia,99,,,,,,,,
Comoros,87,,,,,,,,
Congo,77,,,,,,,,
Cook Islands,-,,,,,,,,
Costa Rica,99,,,,,,,,
C™te d'Ivoire,39,,,,,,,,
Croatia,100,,,,,,,,
Cuba,100,,,,,,,,
Cyprus,100,,,,,,,,
Czech Republic,-,,,,,,,,
Democratic People's Republic of Korea,100,,,,,,,,
Democratic Republic of the Congo,77,,,,,,,,
Denmark,-,,,,,,,,
Djibouti,-,,,,,,,,
Dominica,-,,,,,,,,
Dominican Republic,98,,,,,,,,
Ecuador,99,,,,,,,,
Egypt,84,,,,,,,,
El Salvador,96,,,,,,,,
Equatorial Guinea,99,,,,,,,,
Eritrea,90,,,,,,,,
Estonia,100,,,,,,,,
Ethiopia,47,,,,,,,,
Fiji,-,,,,,,,,
Finland,-,,,,,,,,
France,-,,,,,,,,
Gabon,89,,,,,,,,
Gambia,67,,,,,,,,
Georgia,100,,,,,,,,
Germany,-,,,,,,,,
Ghana,83,,,,,,,,
Greece,99,,,,,,,,
Grenada,-,,,,,,,,
Guatemala,92,,,,,,,,
Guinea,22,,,,,,,,
Guinea-Bissau,71,,,,,,,,
Guyana,94,,,,,,,,
Haiti,70,,,,,,,,
Holy See,-,,,,,,,,
Honduras,96,,,,,,,,
Hungary,99,,,,,,,,
Iceland,-,,,,,,,,
India,82,,,,,,,,
Indonesia,99,,,,,,,,
Iran (Islamic Republic of),98,,,,,,,,
Iraq,81,,,,,,,,
Ireland,-,,,,,,,,
Israel,-,,,,,,,,
Italy,100,,,,,,,,
Jamaica,99,,,,,,,,
Japan,-,,,,,,,,
Jordan,99,,,,,,,,
Kazakhstan,100,,,,,,,,
Kenya,82,,,,,,,,
Kiribati,-,,,,,,,,
Kuwait,99,,,,,,,,
Kyrgyzstan,100,,,,,,,,
Lao People's Democratic Republic,79,,,,,,,,
Latvia,100,,,,,,,,
Lebanon,99,,,,,,,,
Lesotho,92,,,,,,,,
Liberia,37,,,,,,,,
Libya,100,,,,,,,,
Liechtenstein,-,,,,,,,,
Lithuania,100,,,,,,,,
Luxembourg,-,,,,,,,,
Madagascar,64,,,,,,,,
Malawi,70,,,,,,,,
Malaysia,98,,,,,,,,
Maldives,99,,,,,,,,
Mali,34,,,,,,,,
Malta,99,,,,,,,,
Marshall Islands,-,,,,,,,,
Mauritania,48,,,,,,,,
Mauritius,99,,,,,,,,
Mexico,98,,,,,,,,
Micronesia (Federated States of),-,,,,,,,,
Monaco,-,,,,,,,,
Mongolia,99,,,,,,,,
Montenegro,99,,,,,,,,
Morocco,74,,,,,,,,
Mozambique,57,,,,,,,,
Myanmar,96,,,,,,,,
Namibia,91,,,,,,,,
Nauru,-,,,,,,,,
Nepal,80,,,,,,,,
Netherlands,-,,,,,,,,
New Zealand,-,,,,,,,,
Nicaragua,89,,,,,,,,
Niger,15,,,,,,,,
