Curly Armstrong,180
Cliff Barker,188
Leo Barnhorst,193
Ed Bartels,196
Ralph Beard,178
Gene Berce,180
Charlie Black,196
Nelson Bobb,183
Jake Bornheimer,196
Vince Boryla,196
Don Boven,193
Harry Boykoff,208
Joe Bradley,190
Bob Brannum,196
Carl Braun,196
Frankie Brian,185
Price Brookfield,193
Bob Brown,193
Jim Browne,208
Walt Budko,196
Jack Burmaster,190
Tommy Byrnes,190
Bill Calhoun,190
Don Carlson,183
Bob Carpenter,196
Jake Carter,193
Al Cervi*,180
John Chaney,190
Leroy Chollet,188
Bill Closs,196
Paul Cloyd,188
Jack Coleman,201
Bobby Cook,178
Ray Corley,183
Jack Cotton,201
Dillard Crocker,193
Chink Crossin,185
Fran Curran,183
Jimmy Darden,185
Bob Davies*,185
Hook Dillon,190
Earl Dodd,196
Joe Dolhon,183
Bob Doll,196
Harry Donovan,188
Andy Duncan,198
Dike Eddleman,190
Gene Englund,196
Bob Evans,188
Johnny Ezersky,190
Bob Feerick,190
George Feigenbaum,185
Arnie Ferrin,188
Jerry Fleishman,188
Joe Fulks*,196
Bill Gabor,180
Elmer Gainer,198
Harry Gallatin*,198
Vern Gardner,196
Frank Gates,183
Dee Gibson,180
Hoot Gibson,196
Chuck Gilmur,193
Normie Glick,201
Paul Gordon,190
Joe Graboski,201
Bud Grant,190
Don Grate,188
Alex Groza,201
Al Guokas,196
Robert Hahn,208
Chick Halbert,206
Bruce Hale,185
Dale Hamilton,183
Alex Hannum*,201
John Hargis,188
Bob Harris,201
Bob Harrison,201
Billy Hassett,180
Marshall Hawkins,190
Bill Henry,206
Bill Herman,190
Kleggie Hermsen,206
Sonny Hertzberg,178
Paul Hoffman,188
Joe Holland,193
Red Holzman*,178
Gene James,193
Howie Janotta,190
Tony Jaros,190
Buddy Jeannette*,180
Arnie Johnson,196
Ralph Johnson,180
Wah Wah,180
Noble Jorgensen,206
George Kaftan,190
Leo Katkaveck,183
Jack Kerris,198
Bob Kinney,198
Walt Kirk,190
Leo Klier,188
Duane Klueh,190
Lee Knorek,201
Milo Komenich,201
Leo Kubiak,180
Frank Kudelka,188
Walt Lautenbach,188
Tony Lavelli,190
Ed Leede,190
Andrew Levane,188
Freddie Lewis,188
Ron Livingstone,208
John Logan,188
Ray Lumpp,185
Ed Macauley*,203
Johnny Macknowski,183
John Mahnken,203
John Mandic,193
Slater Martin*,178
Ariel Maughan,193
Matt Mazza,190
Mike McCarron,180
Dick McGuire*,183
Bones McKinney,198
Mal McMullen,196
Dick Mehen,196
Ken Menke,183
Stan Miasek,196
Ed Mikan,203
George Mikan*,208
Vern Mikkelsen*,201
Al Miksis,201
Murray Mitchell,201
Leo Mogus,193
Max Morris,188
Joe Mullaney,183
Jerry Nagel,183
Jack Nichols,201
Richie Niemiera,185
Paul Noel,193
Jim Nolan,203
Johnny Norlander,190
George Nostrand,203
Mike Novak,206
Dermie O'Connell,183
Andy O'Donnell,185
Dick O'Keefe,188
John Oldham,190
Gene Ollrich,180
Johnny Orr,190
Don Otten,208
Mac Otten,201
Red Owens,190
Easy Parham,190
Jack Parkinson,183
Charlie Parsley,188
Stan Patrick,188
Johnny Payak,193
Warren Perkins,190
Ed Peterson,206
Jack Phelan,196
Andy Phillip*,188
Jim Pollard*,193
John Pritchard,206
Les Pugh,201
Don Putman,201
George Ratkovicz,198
Don Ray,196
Chick Reiser,180
Arnie Risen*,206
Tex Ritter,188
Bill Roberts,206
Red Rocha,206
Kenny Rollins,183
Bob Royer,178
Jerry Rullo,178
Ed Sadowski,196
Kenny Sailors,178
Pep Saul,188
Herm Schaefer,183
Marv Schatzman,196
Fred Schaus,196
Dolph Schayes*,203
Milt Schoon,201
Howie Schultz,198
Dick Schulz,188
Fred Scolari,178
Wayne See,190
Glen Selbo,190
Rollie Seltz,178
Jim Seminoff,188
George Senesky,188
Paul Seymour,185
Carl Shaeffer,190
Howie Shannon,188
Charley Shipp,185
Connie Simmons,203
Belus Smawley,185
Jack Smiley,190
Chips Sobek,183
Odie Spears,196
Art Spector,193
Ed Stanczak,185
Gene Stump,188
Mike Todorovich,196
Jack Toomay,198
Bob Tough,183
Blackie Towery,193
Dick Triptow,183
Butch Van,183
Gene Vance,190
Ernie Vandeweghe,190
Floyd Volker,193
Whitey Von,193
Clint Wager,198
Danny Wagner,183
Brady Walker,198
Paul Walther,188
Bobby Wanzer*,183
Murray Wier,175
D.C. Wilcutt,175
Bob Wood,175
Max Zaslofsky,188
nan,
Paul Arizin*,193
Ed Beach,190
Leon Blevins,188
Ike Borsavage,203
Art Burris,196
Gerry Calabrese,185
Cal Christensen,196
Nat Clifton*,198
Chuck Cooper,196
Bob Cousy*,185
Hank DeZonie,198
Bob Donham,188
Ray Ellefson,203
Larry Foust,206
Ed Gayda,193
Joe Hutton,185
Bob Lavoy,201
Earl Lloyd*,196
Don Lofgran,196
Norm Mager,196
Joe McNamee,198
Chuck Mrazovich,196
Ken Murray,188
Tommy O'Keefe,188
Kevin O'Shea,188
Don Rehfeldt,201
Jim Riffey,193
Alan Sawyer,196
Herb Scherer,206
Dick Schnittker,196
Bill Sharman*,185
Don Barksdale*,198
Elmer Behnke,201
Stan Brown,190
Ed Dahler,196
Nate DeLong,198
Dick Dickey,185
Jake Fendley,183
Jerry Fowler,203
Lew Hitch,203
Mel Hutchins,198
Neil Johnston*,203
Jack Kiley,185
George King,183
John McConathy,196
Alfred McGuire*,188
Dave Minor,188
Ralph O'Brien,175
Wally Osterkorn,196
Mel Payton,193
John Pilch,190
Ray Ragelis,193
Sam Ranzino,185
John Rennicke,188
Don Savage,190
Chuck Share,211
Zeke Sinicola,178
Whitey Skoog,180
Jim Slaughter,211
Bill Tosheff,185
Bob Wilson,193
Jim Baechtold,193
Jim Brasco,185
Dick Bunt,183
Gene Conley,203
Pete Darcey,201
Blaine Denning,188
Danny Finn,185
Dick Groat,180
Don Hanrahan,201
Don Henriksen,201
Jim Holstein,190
Bob Lochmueller,196
Mo Mahoney,188
Al Masino,178
Jack McCloskey,188
Bucky McConnell,178
George McLeod,196
Jack McMahon,185
Monk Meineke,201
Eddie Miller,203
Bill Mlkvy,193
Jim Mooney,196
Bob Naber,190
John O'Boyle,188
Mike O'Neill,190
Claude Overton,188
Ralph Polson,201
Bob Priddy,190
Moe Radovich,183
Sherwin Raiken,188
Gene Rhodes,185
Dick Surhoff,193
Mark Workman,206
Zeke Zawoluk,201
Don Ackerman,183
Don Asmonga,188
Ernie Barrett,190
Ernie Beck,193
Irv Bemoras,190
Bill Bolger,196
Walt Davis,203
Gene Dyker,198
Ed Earle,190
Ray Felix,211
Jim Fritsche,203
Jack George,188
Bato Govedarica,180
Norm Grekin,196
Rollen Hans,188
Bob Houbregs*,201
Billy Kenville,188
Dick Knostman,198
Clyde Lovellette*,206
Jim Luisi,188
Jack Molinas,198
Jim Neal,211
Paul Nolen,211
Bob Peterson,196
James Phelan,196
Connie Rea,190
Frank Reddout,196
Al Roges,193
Ed Smith,198
Joe Smyth,190
Don Sunderlage,185
Norm Swanson,198
Hal Uplinger,193
Isaac Walthour,180
George Yardley*,196
Don Anielak,201
Tom Brennan,190
Bob Carney,190
Fred Christ,193
Bert Cook,190
Larry Costello,185
George Dempsey,188
Fred Diute,190
Dick Farley,193
Chuck Grigsby,196
Herm Hedderick,196
Ed Kalafat,198
Mike Kearns,188
Red Kerr,206
Dan King,198
Bob Knight,188
Ronnie MacGilvray,188
Tom Marshall,193
Phil Martin,190
Ken McBride,190
Carl McNulty,190
Jackie Moore,196
Red Morrison,203
Boris Nachamkin,198
Togo Palazzi,193
Bob Pettit*,206
Frank Ramsey*,190
Dick Rosenthal,196
Frank Selvy,190
Gene Shue,188
Art Spoelstra,206
Jim Tucker,201
Jack Turner,193
Bobby Watson,183
Skippy Whitaker,185
Jesse Arnelle,196
Dick Atha,188
Don Bielke,201
Ed Conlin,196
Red Davis,201
Corky Devlin,196
Walter Dukes,213
Ron Feiereisel,190
Al Ferrari,193
Ed Fleming,190
Dick Garmaker,190
Tom Gola*,198
Chris Harris,190
Dick Hemric,198
Larry Hennessy,190
Johnny Horan,203
Jim Loscutoff,196
Chuck Mencel,183
Chuck Noble,193
Med Park,188
Richie Regan,188
Dick Ricketts,201
Bob Santini,196
Bob Schafer,190
Kenny Sears,206
Jack Stephens,190
Maurice Stokes*,201
Jack Twyman*,198
Bob Williams,198
Forest Able,190
Bob Armstrong,203
John Barber,198
Gary Bergen,203
Al Bianchi,190
Bob Burrow,201
Si Green,188
Richie Guerin*,193
Cliff Hagan*,193
Tom Heinsohn*,201
Joe Holup,198
Bob Hopkins,203
Phil Jordon,208
Hal Lear,183
Slick Leonard*,190
Johnny McCarthy,185
Willie Naulls,198
Jim Paxson,198
Dave Piontek,198
Jim Ray,185
Bill Russell*,208
Ron Shavlik,203
Ron Sobie,190
Norm Stewart,196
Bill Thieben,201
Lou Tsioropoulos,196
