index,player,height,score
2207,Keith Jennings,170.0,589.0
1215,Monte Towe,170.0,130.0
662,Willie Somerset,173.0,45.0
1242,Charlie Criss,173.0,18.0
859,Calvin Murphy*,175.0,816.0
219,Murray Wier,175.0,429.0
4,Ralph Beard,178.0,1111.0
83,Sonny Hertzberg,178.0,635.0
104,Leo Kubiak,180.0,710.0
3370,Ty Lawson,180.0,681.0
3167,Kyle Lowry,183.0,1344.0
1994,Tim Hardaway,183.0,1143.0
3213,Mike Conley,185.0,1415.0
3515,Isaiah Thomas,185.0,2199.0
3379,Jeff Teague,188.0,1254.0
3184,J.J. Redick,188.0,1173.0
3325,Russell Westbrook,190.0,2558.0
3570,Damian Lillard,190.0,2024.0
3449,John Wall,193.0,1805.0
224,Paul Arizin*,193.0,1706.0
3357,James Harden,196.0,2356.0
3537,Bradley Beal,196.0,1779.0
3766,Devin Booker,198.0,1726.0
1675,Michael Jordan*,198.0,1640.0
3491,Kawhi Leonard,201.0,1888.0
3345,DeMar DeRozan,201.0,2020.0
2944,LeBron James,203.0,1954.0
3758,Andrew Wiggins,203.0,1933.0
3543,Anthony Davis,206.0,2099.0
3411,Paul George,206.0,1775.0
3412,Blake Griffin,208.0,1316.0
3790,Nikola Jokic,208.0,1221.0
3608,Giannis Antetokounmpo,211.0,1832.0
3128,LaMarcus Aldridge,211.0,1243.0
3824,Karl-Anthony Towns,213.0,2061.0
3302,Brook Lopez,213.0,1539.0
3636,Rudy Gobert,216.0,1137.0
3283,Marc Gasol,216.0,1446.0
789,Kareem Abdul-Jabbar*,218.0,748.0
3267,Alexis Ajinca,218.0,207.0
3814,Kristaps Porzingis,221.0,1196.0
2432,Arvydas Sabonis*,221.0,476.0
1956,Rik Smits,224.0,1018.0
1540,Mark Eaton,224.0,177.0
3018,Peter John,226.0,11.0
1563,Chuck Nevitt,226.0,3.0
2248,Shawn Bradley,229.0,211.0
2878,Yao Ming*,229.0,51.0
2297,Gheorghe Muresan,231.0,105.0
1711,Manute Bol,231.0,15.0
